日期,销量
2023-05-17,713
2023-05-18,286
2023-05-19,247
2023-05-20,776
2023-05-21,241
2023-05-22,333
2023-05-23,792
2023-05-24,218
2023-05-25,319
2023-05-26,534
2023-05-27,730
2023-05-28,269
2023-05-29,633
2023-05-30,388
2023-05-31,602
2023-06-01,586
2023-06-02,332
2023-06-03,421
2023-06-04,266
2023-06-05,430
2023-06-06,349
2023-06-07,308
2023-06-08,628
2023-06-09,694
2023-06-10,280
2023-06-11,739
2023-06-12,687
2023-06-13,207
2023-06-14,674
2023-06-15,453
2023-06-16,752
2023-06-17,692
2023-06-18,770
2023-06-19,404
2023-06-20,366
2023-06-21,526
2023-06-22,424
2023-06-23,629
2023-06-24,678
2023-06-25,308
2023-06-26,616
2023-06-27,572
2023-06-28,477
2023-06-29,610
2023-06-30,390
2023-07-01,220
2023-07-02,449
2023-07-03,758
2023-07-04,761
2023-07-05,574
2023-07-06,483
2023-07-07,762
2023-07-08,719
2023-07-09,641
2023-07-10,644
2023-07-11,616
2023-07-12,730
2023-07-13,741
2023-07-14,661
2023-07-15,341
2023-07-16,315
2023-07-17,306
2023-07-18,745
2023-07-19,377
2023-07-20,231
2023-07-21,497
2023-07-22,360
2023-07-23,611
2023-07-24,622
2023-07-25,293
2023-07-26,742
2023-07-27,351
2023-07-28,661
2023-07-29,555
2023-07-30,735
2023-07-31,417
2023-08-01,553
2023-08-02,776
2023-08-03,600
2023-08-04,299
2023-08-05,620
2023-08-06,505
2023-08-07,449
2023-08-08,628
2023-08-09,475
2023-08-10,514
2023-08-11,514
2023-08-12,289
2023-08-13,594
2023-08-14,638
2023-08-15,450
2023-08-16,776
2023-08-17,435
2023-08-18,276
2023-08-19,769
2023-08-20,299
2023-08-21,660
2023-08-22,597
2023-08-23,444
2023-08-24,580
2023-08-25,251
2023-08-26,361
2023-08-27,390
2023-08-28,321
2023-08-29,610
2023-08-30,493
2023-08-31,445
2023-09-01,383
2023-09-02,648
2023-09-03,545
2023-09-04,367
2023-09-05,604
2023-09-06,615
2023-09-07,723
2023-09-08,235
2023-09-09,215
2023-09-10,405
2023-09-11,693
2023-09-12,622
2023-09-13,404
2023-09-14,356
2023-09-15,614
2023-09-16,498
2023-09-17,218
2023-09-18,698
2023-09-19,337
2023-09-20,767
2023-09-21,242
2023-09-22,503
2023-09-23,495
2023-09-24,489
2023-09-25,565
2023-09-26,568
2023-09-27,328
2023-09-28,474
2023-09-29,456
2023-09-30,575
2023-10-01,287
2023-10-02,415
2023-10-03,558
2023-10-04,680
2023-10-05,483
2023-10-06,306
2023-10-07,682
2023-10-08,223
2023-10-09,431
2023-10-10,243
2023-10-11,585
2023-10-12,680
2023-10-13,277
2023-10-14,517
2023-10-15,342
2023-10-16,715
2023-10-17,411
2023-10-18,712
2023-10-19,524
2023-10-20,725
2023-10-21,421
2023-10-22,685
2023-10-23,654
2023-10-24,307
2023-10-25,686
2023-10-26,569
2023-10-27,592
2023-10-28,318
2023-10-29,708
2023-10-30,553
2023-10-31,756
2023-11-01,512
2023-11-02,263
2023-11-03,457
2023-11-04,205
2023-11-05,516
2023-11-06,617
2023-11-07,216
2023-11-08,481
2023-11-09,603
2023-11-10,752
2023-11-11,641
2023-11-12,565
2023-11-13,554
2023-11-14,554
2023-11-15,509
2023-11-16,612
2023-11-17,431
2023-11-18,660
2023-11-19,289
2023-11-20,349
2023-11-21,783
2023-11-22,654
2023-11-23,588
2023-11-24,507
2023-11-25,456
2023-11-26,756
2023-11-27,573
2023-11-28,751
2023-11-29,391
2023-11-30,722
2023-12-01,581
2023-12-02,635
2023-12-03,334
2023-12-04,378
2023-12-05,420
2023-12-06,421
2023-12-07,750
2023-12-08,755
2023-12-09,512
2023-12-10,494
2023-12-11,733
2023-12-12,356
2023-12-13,651
2023-12-14,202
2023-12-15,400
2023-12-16,588
2023-12-17,522
2023-12-18,544
2023-12-19,615
2023-12-20,296
2023-12-21,740
2023-12-22,558
2023-12-23,308
2023-12-24,649
2023-12-25,722
2023-12-26,294
2023-12-27,331
2023-12-28,765
2023-12-29,441
2023-12-30,576
2023-12-31,394
2024-01-01,457
2024-01-02,503
2024-01-03,700
2024-01-04,779
2024-01-05,389
2024-01-06,538
2024-01-07,218
2024-01-08,614
2024-01-09,261
2024-01-10,266
2024-01-11,374
2024-01-12,580
2024-01-13,718
2024-01-14,432
2024-01-15,733
2024-01-16,549
2024-01-17,324
2024-01-18,784
2024-01-19,237
2024-01-20,447
2024-01-21,787
2024-01-22,340
2024-01-23,296
2024-01-24,791
2024-01-25,455
2024-01-26,553
2024-01-27,674
2024-01-28,726
2024-01-29,567
2024-01-30,734
2024-01-31,464
2024-02-01,504
2024-02-02,628
2024-02-03,487
2024-02-04,492
2024-02-05,236
2024-02-06,500
2024-02-07,335
2024-02-08,687
2024-02-09,440
2024-02-10,374
2024-02-11,537
2024-02-12,558
2024-02-13,456
2024-02-14,651
2024-02-15,417
2024-02-16,402
2024-02-17,454
2024-02-18,295
2024-02-19,547
2024-02-20,798
2024-02-21,330
2024-02-22,487
2024-02-23,255
2024-02-24,533
2024-02-25,771
2024-02-26,383
2024-02-27,203
2024-02-28,787
2024-02-29,634
2024-03-01,712
2024-03-02,593
2024-03-03,363
2024-03-04,577
2024-03-05,247
2024-03-06,729
2024-03-07,531
2024-03-08,355
2024-03-09,698
2024-03-10,208
2024-03-11,351
2024-03-12,673
2024-03-13,226
2024-03-14,398
2024-03-15,282
2024-03-16,253
2024-03-17,793
2024-03-18,342
2024-03-19,452
2024-03-20,296
2024-03-21,634
2024-03-22,652
2024-03-23,751
2024-03-24,428
2024-03-25,396
2024-03-26,684
2024-03-27,370
2024-03-28,713
2024-03-29,485
2024-03-30,696
2024-03-31,658
2024-04-01,763
2024-04-02,232
2024-04-03,722
2024-04-04,579
2024-04-05,787
2024-04-06,253
2024-04-07,530
2024-04-08,296
2024-04-09,704
2024-04-10,347
2024-04-11,716
2024-04-12,694
2024-04-13,479
2024-04-14,615
2024-04-15,486
2024-04-16,305
2024-04-17,755
2024-04-18,405
2024-04-19,317
2024-04-20,679
2024-04-21,570
2024-04-22,427
2024-04-23,480
2024-04-24,634
2024-04-25,316
2024-04-26,783
2024-04-27,740
2024-04-28,224
2024-04-29,286
2024-04-30,386
2024-05-01,454
2024-05-02,595
2024-05-03,377
2024-05-04,339
2024-05-05,281
2024-05-06,631
2024-05-07,730
2024-05-08,567
2024-05-09,252
2024-05-10,746
2024-05-11,568
2024-05-12,778
2024-05-13,250
2024-05-14,560
2024-05-15,242
2024-05-16,746
2024-05-17,726
2024-05-18,268
2024-05-19,284
2024-05-20,368
2024-05-21,229
2024-05-22,346
2024-05-23,287
2024-05-24,501
2024-05-25,790
2024-05-26,223
2024-05-27,619
2024-05-28,376
2024-05-29,386
2024-05-30,413
2024-05-31,494
2024-06-01,791
2024-06-02,792
2024-06-03,396
2024-06-04,647
2024-06-05,380
2024-06-06,253
2024-06-07,364
2024-06-08,635
2024-06-09,729
2024-06-10,455
2024-06-11,497
2024-06-12,335
2024-06-13,676
2024-06-14,313
2024-06-15,556
2024-06-16,622
2024-06-17,516
2024-06-18,386
2024-06-19,465
2024-06-20,746
2024-06-21,241
2024-06-22,287
2024-06-23,484
2024-06-24,354
2024-06-25,493
2024-06-26,736
2024-06-27,493
2024-06-28,258
2024-06-29,665
2024-06-30,718
2024-07-01,395
2024-07-02,496
2024-07-03,401
2024-07-04,634
2024-07-05,491
2024-07-06,680
2024-07-07,482
2024-07-08,796
2024-07-09,418
2024-07-10,489
2024-07-11,763
2024-07-12,701
2024-07-13,708
2024-07-14,589
2024-07-15,258
2024-07-16,256
2024-07-17,236
2024-07-18,666
2024-07-19,325
2024-07-20,662
2024-07-21,536
2024-07-22,384
2024-07-23,251
2024-07-24,543
2024-07-25,613
2024-07-26,515
2024-07-27,345
2024-07-28,575
2024-07-29,404
2024-07-30,657
2024-07-31,430
2024-08-01,467
2024-08-02,557
2024-08-03,688
2024-08-04,239
2024-08-05,391
2024-08-06,474
2024-08-07,798
2024-08-08,555
2024-08-09,354
2024-08-10,791
2024-08-11,718
2024-08-12,390
2024-08-13,276
2024-08-14,254
2024-08-15,680
2024-08-16,338
2024-08-17,600
2024-08-18,429
2024-08-19,521
2024-08-20,266
2024-08-21,297
2024-08-22,313
2024-08-23,615
2024-08-24,212
2024-08-25,421
2024-08-26,622
2024-08-27,220
2024-08-28,695
2024-08-29,414
2024-08-30,343
2024-08-31,689
2024-09-01,539
2024-09-02,311
2024-09-03,581
2024-09-04,277
2024-09-05,285
2024-09-06,560
2024-09-07,683
2024-09-08,673
2024-09-09,275
2024-09-10,230
2024-09-11,559
2024-09-12,523
2024-09-13,367
2024-09-14,482
2024-09-15,419
2024-09-16,471
2024-09-17,566
2024-09-18,312
2024-09-19,724
2024-09-20,771
2024-09-21,563
2024-09-22,487
2024-09-23,254
2024-09-24,442
2024-09-25,352
2024-09-26,368
2024-09-27,308
2024-09-28,537
2024-09-29,235
2024-09-30,539
2024-10-01,330
2024-10-02,258
2024-10-03,690
2024-10-04,359
2024-10-05,528
2024-10-06,757
2024-10-07,567
2024-10-08,543
2024-10-09,511
2024-10-10,413
2024-10-11,357
2024-10-12,363
2024-10-13,481
2024-10-14,249
2024-10-15,329
2024-10-16,561
2024-10-17,462
2024-10-18,354
2024-10-19,535
2024-10-20,504
2024-10-21,245
2024-10-22,447
2024-10-23,412
2024-10-24,609
2024-10-25,708
2024-10-26,201
2024-10-27,519
2024-10-28,452
2024-10-29,671
2024-10-30,288
2024-10-31,214
2024-11-01,364
2024-11-02,626
2024-11-03,756
2024-11-04,674
2024-11-05,618
2024-11-06,609
2024-11-07,668
2024-11-08,636
2024-11-09,404
2024-11-10,229
2024-11-11,721
2024-11-12,484
2024-11-13,591
2024-11-14,636
2024-11-15,338
2024-11-16,613
2024-11-17,747
2024-11-18,729
2024-11-19,336
2024-11-20,589
2024-11-21,397
2024-11-22,756
2024-11-23,605
2024-11-24,790
2024-11-25,656
2024-11-26,653
2024-11-27,286
2024-11-28,408
2024-11-29,423
2024-11-30,452
2024-12-01,359
2024-12-02,428
2024-12-03,394
2024-12-04,576
2024-12-05,343
2024-12-06,329
2024-12-07,650
2024-12-08,240
2024-12-09,213
2024-12-10,632
2024-12-11,632
2024-12-12,738
2024-12-13,622
2024-12-14,528
2024-12-15,721
2024-12-16,284
2024-12-17,201
2024-12-18,406
2024-12-19,611
2024-12-20,320
2024-12-21,656
2024-12-22,741
2024-12-23,208
2024-12-24,511
2024-12-25,403
2024-12-26,699
2024-12-27,344
2024-12-28,600
2024-12-29,760
2024-12-30,682
2024-12-31,299
