订单ID,用户ID,订单金额,下单时间,支付状态,收货地址
ORD000046,U0458,26.34,2024-01-04 06:51:20.776155231,已支付,深圳市南山区
ORD000047,U0113,84.75,2024-01-04 08:36:29.237847569,已支付,北京市朝阳区
ORD000048,U0709,86.85,2024-01-04 10:21:37.699539908,已支付,广州市天河区
ORD000049,U0935,88.83,2024-01-04 12:06:46.161232246,已支付,杭州市西湖区
ORD000050,U0229,133.46,2024-01-04 13:51:54.622924584,未支付,北京市朝阳区
ORD000051,U0360,43.84,2024-01-04 15:37:03.084616923,已支付,广州市天河区
ORD000052,U0385,19.66,2024-01-04 17:22:11.546309261,已支付,广州市天河区
ORD000053,U0441,43.85,2024-01-04 19:07:20.008001600,已支付,深圳市南山区
ORD000054,U0098,180.18,2024-01-04 20:52:28.469693938,已支付,深圳市南山区
ORD000055,U0304,10.4,2024-01-04 22:37:36.931386277,已支付,上海市浦东新区
ORD000056,U0712,34.52,2024-01-05 00:22:45.393078615,已支付,深圳市南山区
ORD000057,U0021,55.65,2024-01-05 02:07:53.854770954,未支付,深圳市南山区
ORD000058,U0927,28.34,2024-01-05 03:53:02.316463292,已取消,广州市天河区
ORD000059,U0698,32.32,2024-01-05 05:38:10.778155631,已支付,深圳市南山区
ORD000060,U0175,81.99,2024-01-05 07:23:19.239847969,已支付,深圳市南山区
ORD000061,U0279,62.37,2024-01-05 09:08:27.701540308,已支付,深圳市南山区
ORD000062,U0971,140.88,2024-01-05 10:53:36.163232646,已支付,杭州市西湖区
ORD000063,U0208,95.01,2024-01-05 12:38:44.624924985,已取消,杭州市西湖区
ORD000064,U0603,153.8,2024-01-05 14:23:53.086617323,已支付,上海市浦东新区
ORD000065,U0775,28.59,2024-01-05 16:09:01.548309661,已支付,北京市朝阳区
ORD000066,U0384,739.33,2024-01-05 17:54:10.010002000,已支付,广州市天河区
ORD000067,U0305,10.19,2024-01-05 19:39:18.471694338,已支付,上海市浦东新区
ORD000068,U0728,121.96,2024-01-05 21:24:26.933386677,已支付,广州市天河区
ORD000069,U0992,19.78,2024-01-05 23:09:35.395079015,已支付,北京市朝阳区
ORD000070,U0765,10.6,2024-01-06 00:54:43.856771354,已支付,北京市朝阳区
ORD000071,U0355,290.14,2024-01-06 02:39:52.318463692,已支付,上海市浦东新区
ORD000072,U0031,37.65,2024-01-06 04:25:00.780156031,已支付,杭州市西湖区
ORD000073,U0125,15.25,2024-01-06 06:10:09.241848369,已支付,杭州市西湖区
ORD000074,U0431,36.47,2024-01-06 07:55:17.703540708,已支付,杭州市西湖区
ORD000075,U0861,27.62,2024-01-06 09:40:26.165233046,已支付,深圳市南山区
ORD000076,U0708,46.47,2024-01-06 11:25:34.626925385,已支付,深圳市南山区
ORD000077,U0291,39.32,2024-01-06 13:10:43.088617723,已支付,上海市浦东新区
ORD000078,U0459,14.02,2024-01-06 14:55:51.550310062,已支付,深圳市南山区
ORD000079,U0034,58.18,2024-01-06 16:41:00.012002400,已支付,广州市天河区
ORD000080,U0743,53.89,2024-01-06 18:26:08.473694738,已支付,上海市浦东新区
ORD000081,U0954,276.81,2024-01-06 20:11:16.935387077,已支付,上海市浦东新区
ORD000082,U0527,231.76,2024-01-06 21:56:25.397079415,未支付,北京市朝阳区
ORD000083,U0846,54.92,2024-01-06 23:41:33.858771754,已支付,北京市朝阳区
ORD000084,U0341,86.54,2024-01-07 01:26:42.320464092,已支付,上海市浦东新区
ORD000085,U0839,19.14,2024-01-07 03:11:50.782156431,已支付,杭州市西湖区
ORD000086,U0337,105.55,2024-01-07 04:56:59.243848769,已支付,北京市朝阳区
ORD000087,U0170,839.51,2024-01-07 06:42:07.705541108,已支付,深圳市南山区
ORD000088,U0146,17.38,2024-01-07 08:27:16.167233446,已支付,上海市浦东新区
ORD000089,U0718,29.64,2024-01-07 10:12:24.628925785,已支付,广州市天河区
ORD000090,U0550,69.8,2024-01-07 11:57:33.090618123,未支付,上海市浦东新区
ORD000091,U0320,65.68,2024-01-07 13:42:41.552310462,已支付,广州市天河区
ORD000092,U0029,61.21,2024-01-07 15:27:50.014002800,已支付,北京市朝阳区
ORD000093,U0374,27.49,2024-01-07 17:12:58.475695139,已支付,杭州市西湖区
ORD000094,U0371,13.44,2024-01-07 18:58:06.937387477,已支付,广州市天河区
ORD000095,U0010,23.18,2024-01-07 20:43:15.399079816,已支付,杭州市西湖区
ORD000096,U0785,125.24,2024-01-07 22:28:23.860772154,未支付,广州市天河区
ORD000097,U0416,417.23,2024-01-08 00:13:32.322464492,已支付,杭州市西湖区
ORD000098,U0957,93.42,2024-01-08 01:58:40.784156831,未支付,广州市天河区
ORD000099,U0115,38.97,2024-01-08 03:43:49.245849169,已支付,上海市浦东新区
ORD000100,U0084,124.85,2024-01-08 05:28:57.707541508,已支付,上海市浦东新区
ORD000101,U0593,14.06,2024-01-08 07:14:06.169233846,已支付,北京市朝阳区
ORD000102,U0942,52.9,2024-01-08 08:59:14.630926185,已支付,上海市浦东新区
ORD000103,U0583,30.08,2024-01-08 10:44:23.092618523,已支付,深圳市南山区
ORD000104,U0883,41.14,2024-01-08 12:29:31.554310862,已支付,北京市朝阳区
ORD000105,U0056,31.04,2024-01-08 14:14:40.016003200,已支付,上海市浦东新区
ORD000106,U0829,17.99,2024-01-08 15:59:48.477695539,已支付,上海市浦东新区
ORD000107,U0871,298.96,2024-01-08 17:44:56.939387877,已支付,深圳市南山区
ORD000108,U0300,29.3,2024-01-08 19:30:05.401080216,已支付,杭州市西湖区
ORD000109,U0222,29.17,2024-01-08 21:15:13.862772554,已支付,上海市浦东新区
ORD000110,U0934,51.53,2024-01-08 23:00:22.324464893,未支付,广州市天河区
ORD000111,U0616,67.16,2024-01-09 00:45:30.786157231,已支付,杭州市西湖区
ORD000112,U0233,274.34,2024-01-09 02:30:39.247849569,已支付,广州市天河区
ORD000113,U0178,64.74,2024-01-09 04:15:47.709541908,已支付,杭州市西湖区
ORD000114,U0074,94.99,2024-01-09 06:00:56.171234246,未支付,广州市天河区
ORD000115,U0288,8.62,2024-01-09 07:46:04.632926585,已支付,上海市浦东新区
ORD000116,U0889,74.05,2024-01-09 09:31:13.094618923,已支付,广州市天河区
ORD000117,U0346,25.55,2024-01-09 11:16:21.556311262,已支付,上海市浦东新区
ORD000118,U0053,26.01,2024-01-09 13:01:30.018003600,已支付,深圳市南山区
ORD000119,U0432,16.64,2024-01-09 14:46:38.479695939,已支付,广州市天河区
ORD000120,U0465,39.02,2024-01-09 16:31:46.941388277,已支付,北京市朝阳区
ORD000121,U0769,80.08,2024-01-09 18:16:55.403080616,未支付,北京市朝阳区
ORD000122,U0871,84.1,2024-01-09 20:02:03.864772954,已支付,广州市天河区
ORD000123,U0118,66.59,2024-01-09 21:47:12.326465293,已支付,上海市浦东新区
ORD000124,U0218,29.28,2024-01-09 23:32:20.788157631,已支付,杭州市西湖区
ORD000125,U0542,26.44,2024-01-10 01:17:29.249849970,已支付,深圳市南山区
ORD000126,U0777,35.96,2024-01-10 03:02:37.711542308,已支付,广州市天河区
ORD000127,U0620,60.78,2024-01-10 04:47:46.173234647,未支付,深圳市南山区
ORD000128,U0801,11.37,2024-01-10 06:32:54.634926985,已支付,上海市浦东新区
ORD000129,U0282,42.21,2024-01-10 08:18:03.096619323,已支付,北京市朝阳区
ORD000130,U0298,37.63,2024-01-10 10:03:11.558311662,已支付,上海市浦东新区
ORD000131,U0714,77.76,2024-01-10 11:48:20.020004000,未支付,上海市浦东新区
ORD000132,U0298,925.46,2024-01-10 13:33:28.481696339,已支付,广州市天河区
ORD000133,U0608,53.97,2024-01-10 15:18:36.943388677,已支付,深圳市南山区
ORD000134,U0039,55.25,2024-01-10 17:03:45.405081016,已支付,杭州市西湖区
ORD000135,U0317,105.63,2024-01-10 18:48:53.866773354,已支付,深圳市南山区
ORD000136,U0760,44.6,2024-01-10 20:34:02.328465693,已取消,杭州市西湖区
ORD000137,U0303,83.95,2024-01-10 22:19:10.790158031,已支付,北京市朝阳区
ORD000138,U0938,201.79,2024-01-11 00:04:19.251850370,已支付,深圳市南山区
ORD000139,U0816,40.76,2024-01-11 01:49:27.713542708,已支付,杭州市西湖区
ORD000140,U0752,250.58,2024-01-11 03:34:36.175235047,已支付,深圳市南山区
ORD000141,U0180,66.25,2024-01-11 05:19:44.636927385,已支付,上海市浦东新区
ORD000142,U0161,121.15,2024-01-11 07:04:53.098619724,已支付,北京市朝阳区
ORD000143,U0155,152.66,2024-01-11 08:50:01.560312062,已支付,深圳市南山区
ORD000144,U0939,205.11,2024-01-11 10:35:10.022004400,已支付,上海市浦东新区
ORD000145,U0157,170.12,2024-01-11 12:20:18.483696739,未支付,上海市浦东新区
ORD000146,U0915,219.62,2024-01-11 14:05:26.945389077,已支付,北京市朝阳区
ORD000147,U0722,64.79,2024-01-11 15:50:35.407081416,已支付,深圳市南山区
ORD000148,U0384,27.04,2024-01-11 17:35:43.868773754,已支付,广州市天河区
ORD000149,U0867,60.42,2024-01-11 19:20:52.330466093,已支付,广州市天河区
ORD000150,U0623,18.62,2024-01-11 21:06:00.792158431,未支付,广州市天河区
ORD000151,U0284,39.26,2024-01-11 22:51:09.253850770,已支付,上海市浦东新区
ORD000152,U0998,30.21,2024-01-12 00:36:17.715543108,已支付,深圳市南山区
ORD000153,U0778,12.26,2024-01-12 02:21:26.177235447,已支付,杭州市西湖区
ORD000154,U0451,137.08,2024-01-12 04:06:34.638927785,已支付,深圳市南山区
ORD000155,U0362,207.39,2024-01-12 05:51:43.100620124,已支付,北京市朝阳区
ORD000156,U0477,26.34,2024-01-12 07:36:51.562312462,已支付,杭州市西湖区
ORD000157,U0144,103.52,2024-01-12 09:22:00.024004801,已支付,北京市朝阳区
ORD000158,U0100,779.36,2024-01-12 11:07:08.485697139,已支付,深圳市南山区
ORD000159,U0257,179.76,2024-01-12 12:52:16.947389477,已支付,北京市朝阳区
ORD000160,U0630,19.56,2024-01-12 14:37:25.409081816,已支付,上海市浦东新区
ORD000161,U0338,133.83,2024-01-12 16:22:33.870774154,未支付,广州市天河区
ORD000162,U0388,46.02,2024-01-12 18:07:42.332466493,已支付,深圳市南山区
ORD000163,U0965,130.59,2024-01-12 19:52:50.794158831,已支付,杭州市西湖区
ORD000164,U0725,551.45,2024-01-12 21:37:59.255851170,已支付,杭州市西湖区
ORD000165,U0132,51.02,2024-01-12 23:23:07.717543508,已支付,北京市朝阳区
ORD000166,U0627,223.98,2024-01-13 01:08:16.179235847,已支付,广州市天河区
ORD000167,U0404,25.72,2024-01-13 02:53:24.640928185,未支付,深圳市南山区
ORD000168,U0319,33.72,2024-01-13 04:38:33.102620524,已支付,上海市浦东新区
ORD000169,U0467,7.57,2024-01-13 06:23:41.564312862,未支付,北京市朝阳区
ORD000170,U0803,277.44,2024-01-13 08:08:50.026005201,已支付,深圳市南山区
ORD000171,U0116,10.38,2024-01-13 09:53:58.487697539,已支付,深圳市南山区
ORD000172,U0813,17.61,2024-01-13 11:39:06.949389878,已支付,广州市天河区
ORD000173,U0057,68.5,2024-01-13 13:24:15.411082216,已支付,杭州市西湖区
ORD000174,U0377,424.02,2024-01-13 15:09:23.872774554,未支付,广州市天河区
ORD000175,U0664,8.14,2024-01-13 16:54:32.334466893,已支付,北京市朝阳区
ORD000176,U0276,78.99,2024-01-13 18:39:40.796159231,已支付,北京市朝阳区
ORD000177,U0498,13.15,2024-01-13 20:24:49.257851570,已支付,广州市天河区
ORD000178,U0924,292.13,2024-01-13 22:09:57.719543908,已支付,深圳市南山区
ORD000179,U0505,64.74,2024-01-13 23:55:06.181236247,已支付,杭州市西湖区
ORD000180,U0166,258.65,2024-01-14 01:40:14.642928585,已支付,北京市朝阳区
ORD000181,U0152,25.46,2024-01-14 03:25:23.104620924,已支付,广州市天河区
ORD000182,U0212,34.61,2024-01-14 05:10:31.566313262,已支付,北京市朝阳区
ORD000183,U0280,21.46,2024-01-14 06:55:40.028005601,已支付,杭州市西湖区
ORD000184,U0326,232.47,2024-01-14 08:40:48.489697939,已支付,上海市浦东新区
ORD000185,U0102,226.41,2024-01-14 10:25:56.951390278,已支付,上海市浦东新区
ORD000186,U0383,28.34,2024-01-14 12:11:05.413082616,已支付,深圳市南山区
ORD000187,U0374,144.84,2024-01-14 13:56:13.874774955,已支付,深圳市南山区
ORD000188,U0765,49.28,2024-01-14 15:41:22.336467293,已支付,上海市浦东新区
ORD000189,U0281,7.82,2024-01-14 17:26:30.798159632,已支付,杭州市西湖区
ORD000190,U0480,90.31,2024-01-14 19:11:39.259851970,未支付,广州市天河区
ORD000191,U0465,128.49,2024-01-14 20:56:47.721544309,未支付,广州市天河区
ORD000192,U0593,164.42,2024-01-14 22:41:56.183236647,已支付,杭州市西湖区
ORD000193,U0453,58.69,2024-01-15 00:27:04.644928985,已支付,广州市天河区
ORD000194,U0273,38.81,2024-01-15 02:12:13.106621324,未支付,深圳市南山区
ORD000195,U0570,33.23,2024-01-15 03:57:21.568313662,已支付,广州市天河区
ORD000196,U0457,134.89,2024-01-15 05:42:30.030006001,已支付,广州市天河区
ORD000197,U0916,83.15,2024-01-15 07:27:38.491698339,已支付,深圳市南山区
ORD000198,U0514,28.89,2024-01-15 09:12:46.953390678,已支付,北京市朝阳区
ORD000199,U0339,72.47,2024-01-15 10:57:55.415083016,已支付,上海市浦东新区
ORD000200,U0521,112.48,2024-01-15 12:43:03.876775355,已支付,广州市天河区
ORD000201,U0703,114.96,2024-01-15 14:28:12.338467693,已支付,上海市浦东新区
ORD000202,U0123,54.54,2024-01-15 16:13:20.800160032,未支付,上海市浦东新区
ORD000203,U0104,189.38,2024-01-15 17:58:29.261852370,已支付,杭州市西湖区
ORD000204,U0083,24.83,2024-01-15 19:43:37.723544709,已支付,杭州市西湖区
ORD000205,U0109,57.31,2024-01-15 21:28:46.185237047,已支付,杭州市西湖区
ORD000206,U0120,138.77,2024-01-15 23:13:54.646929386,已支付,北京市朝阳区
ORD000207,U0452,74.52,2024-01-16 00:59:03.108621724,已支付,北京市朝阳区
ORD000208,U0902,59.36,2024-01-16 02:44:11.570314062,已支付,上海市浦东新区
ORD000209,U0228,25.91,2024-01-16 04:29:20.032006401,已支付,上海市浦东新区
ORD000210,U0267,15.06,2024-01-16 06:14:28.493698739,未支付,上海市浦东新区
ORD000211,U0917,27.53,2024-01-16 07:59:36.955391078,未支付,上海市浦东新区
ORD000212,U0618,176.38,2024-01-16 09:44:45.417083416,已取消,深圳市南山区
ORD000213,U0959,28.44,2024-01-16 11:29:53.878775755,已支付,上海市浦东新区
ORD000214,U0496,54.66,2024-01-16 13:15:02.340468093,已支付,杭州市西湖区
ORD000215,U0217,399.33,2024-01-16 15:00:10.802160432,未支付,上海市浦东新区
ORD000216,U0640,152.59,2024-01-16 16:45:19.263852770,已取消,杭州市西湖区
ORD000217,U0286,46.95,2024-01-16 18:30:27.725545109,已支付,杭州市西湖区
ORD000218,U0850,42.69,2024-01-16 20:15:36.187237447,已支付,上海市浦东新区
ORD000219,U0985,230.53,2024-01-16 22:00:44.648929786,已支付,上海市浦东新区
ORD000220,U0371,38.78,2024-01-16 23:45:53.110622124,已支付,广州市天河区
ORD000221,U0661,55.04,2024-01-17 01:31:01.572314463,已支付,杭州市西湖区
ORD000222,U0663,45.21,2024-01-17 03:16:10.034006801,已支付,上海市浦东新区
ORD000223,U0573,281.28,2024-01-17 05:01:18.495699139,未支付,上海市浦东新区
ORD000224,U0670,54.17,2024-01-17 06:46:26.957391478,已支付,广州市天河区
ORD000225,U0174,39.49,2024-01-17 08:31:35.419083816,已支付,深圳市南山区
ORD000226,U0956,109.33,2024-01-17 10:16:43.880776155,已支付,杭州市西湖区
ORD000227,U0274,382.79,2024-01-17 12:01:52.342468493,已支付,杭州市西湖区
ORD000228,U0830,16.09,2024-01-17 13:47:00.804160832,未支付,广州市天河区
ORD000229,U0756,77.11,2024-01-17 15:32:09.265853170,已支付,深圳市南山区
ORD000230,U0481,23.83,2024-01-17 17:17:17.727545509,已支付,北京市朝阳区
ORD000231,U0685,229.44,2024-01-17 19:02:26.189237847,已支付,广州市天河区
ORD000232,U0829,17.92,2024-01-17 20:47:34.650930186,已支付,上海市浦东新区
ORD000233,U0059,122.83,2024-01-17 22:32:43.112622524,已支付,上海市浦东新区
ORD000234,U0419,26.18,2024-01-18 00:17:51.574314863,已支付,上海市浦东新区
ORD000235,U0622,282.25,2024-01-18 02:03:00.036007201,未支付,北京市朝阳区
ORD000236,U0406,612.59,2024-01-18 03:48:08.497699540,已支付,上海市浦东新区
ORD000237,U0370,186.97,2024-01-18 05:33:16.959391878,未支付,北京市朝阳区
ORD000238,U0920,52.32,2024-01-18 07:18:25.421084216,未支付,广州市天河区
ORD000239,U0215,16.37,2024-01-18 09:03:33.882776555,未支付,北京市朝阳区
ORD000240,U0307,66.15,2024-01-18 10:48:42.344468893,已支付,上海市浦东新区
ORD000241,U0065,70.87,2024-01-18 12:33:50.806161232,未支付,杭州市西湖区
ORD000242,U0399,560.87,2024-01-18 14:18:59.267853570,已支付,上海市浦东新区
ORD000243,U0880,62.41,2024-01-18 16:04:07.729545909,已支付,北京市朝阳区
ORD000244,U0412,26.81,2024-01-18 17:49:16.191238247,已支付,北京市朝阳区
ORD000245,U0252,67.01,2024-01-18 19:34:24.652930586,已支付,深圳市南山区
ORD000246,U0298,37.21,2024-01-18 21:19:33.114622924,已支付,深圳市南山区
ORD000247,U0148,49.69,2024-01-18 23:04:41.576315263,已支付,深圳市南山区
ORD000248,U0228,474.76,2024-01-19 00:49:50.038007601,已支付,上海市浦东新区
ORD000249,U0811,23.4,2024-01-19 02:34:58.499699940,已支付,北京市朝阳区
ORD000250,U0720,142.81,2024-01-19 04:20:06.961392278,已支付,深圳市南山区
ORD000251,U0197,39.88,2024-01-19 06:05:15.423084617,未支付,杭州市西湖区
ORD000252,U0243,52.73,2024-01-19 07:50:23.884776955,已取消,广州市天河区
ORD000253,U0703,53.92,2024-01-19 09:35:32.346469294,已支付,广州市天河区
ORD000254,U0171,20.74,2024-01-19 11:20:40.808161632,已支付,深圳市南山区
ORD000255,U0754,98.34,2024-01-19 13:05:49.269853970,已支付,深圳市南山区
ORD000256,U0463,5.71,2024-01-19 14:50:57.731546309,已支付,深圳市南山区
ORD000257,U0258,40.42,2024-01-19 16:36:06.193238647,已支付,广州市天河区
ORD000258,U0472,73.34,2024-01-19 18:21:14.654930986,已支付,深圳市南山区
ORD000259,U0973,97.3,2024-01-19 20:06:23.116623324,已支付,杭州市西湖区
ORD000260,U0151,92.85,2024-01-19 21:51:31.578315663,已支付,杭州市西湖区
ORD000261,U0908,17.66,2024-01-19 23:36:40.040008001,已支付,杭州市西湖区
ORD000262,U0430,35.99,2024-01-20 01:21:48.501700340,已支付,杭州市西湖区
ORD000263,U0382,62.87,2024-01-20 03:06:56.963392678,已支付,北京市朝阳区
ORD000264,U0417,25.77,2024-01-20 04:52:05.425085017,未支付,深圳市南山区
ORD000265,U0300,65.19,2024-01-20 06:37:13.886777355,已支付,上海市浦东新区
ORD000266,U0237,93.75,2024-01-20 08:22:22.348469694,已支付,北京市朝阳区
ORD000267,U0153,31.76,2024-01-20 10:07:30.810162032,已支付,上海市浦东新区
ORD000268,U0291,103.8,2024-01-20 11:52:39.271854371,已支付,上海市浦东新区
ORD000269,U0419,42.34,2024-01-20 13:37:47.733546709,已支付,北京市朝阳区
ORD000270,U0577,24.14,2024-01-20 15:22:56.195239047,已支付,深圳市南山区
ORD000271,U0427,204.6,2024-01-20 17:08:04.656931386,已支付,北京市朝阳区
ORD000272,U0452,33.64,2024-01-20 18:53:13.118623724,未支付,广州市天河区
ORD000273,U0762,12.98,2024-01-20 20:38:21.580316063,已支付,杭州市西湖区
ORD000274,U0190,32.75,2024-01-20 22:23:30.042008401,未支付,北京市朝阳区
ORD000275,U0159,69.85,2024-01-21 00:08:38.503700740,已支付,北京市朝阳区
ORD000276,U0924,76.46,2024-01-21 01:53:46.965393078,已支付,广州市天河区
ORD000277,U0907,18.36,2024-01-21 03:38:55.427085417,已支付,杭州市西湖区
ORD000278,U0032,101.74,2024-01-21 05:24:03.888777755,已支付,上海市浦东新区
ORD000279,U0322,52.33,2024-01-21 07:09:12.350470094,已支付,广州市天河区
ORD000280,U0060,12.8,2024-01-21 08:54:20.812162432,已支付,深圳市南山区
ORD000281,U0179,10.26,2024-01-21 10:39:29.273854771,未支付,北京市朝阳区
ORD000282,U0748,67.49,2024-01-21 12:24:37.735547109,未支付,北京市朝阳区
ORD000283,U0699,39.6,2024-01-21 14:09:46.197239448,已支付,广州市天河区
ORD000284,U0205,22.54,2024-01-21 15:54:54.658931786,已支付,北京市朝阳区
ORD000285,U0401,29.36,2024-01-21 17:40:03.120624124,已支付,杭州市西湖区
ORD000286,U0115,49.49,2024-01-21 19:25:11.582316463,已支付,杭州市西湖区
ORD000287,U0766,48.3,2024-01-21 21:10:20.044008801,未支付,广州市天河区
ORD000288,U0068,48.37,2024-01-21 22:55:28.505701140,已支付,广州市天河区
ORD000289,U0223,47.07,2024-01-22 00:40:36.967393478,已支付,广州市天河区
ORD000290,U0422,392.3,2024-01-22 02:25:45.429085817,已支付,深圳市南山区
ORD000291,U0832,32.77,2024-01-22 04:10:53.890778155,已取消,北京市朝阳区
ORD000292,U0387,113.22,2024-01-22 05:56:02.352470494,已支付,上海市浦东新区
ORD000293,U0310,100.3,2024-01-22 07:41:10.814162832,未支付,上海市浦东新区
ORD000294,U0844,30.54,2024-01-22 09:26:19.275855171,未支付,上海市浦东新区
ORD000295,U0684,9.99,2024-01-22 11:11:27.737547509,已支付,广州市天河区
ORD000296,U0210,35.88,2024-01-22 12:56:36.199239848,未支付,深圳市南山区
ORD000297,U0639,10.41,2024-01-22 14:41:44.660932186,已支付,深圳市南山区
ORD000298,U0670,8.91,2024-01-22 16:26:53.122624525,已支付,上海市浦东新区
ORD000299,U0878,32.82,2024-01-22 18:12:01.584316863,已支付,上海市浦东新区
ORD000300,U0971,59.11,2024-01-22 19:57:10.046009201,已支付,深圳市南山区
ORD000301,U0600,44.07,2024-01-22 21:42:18.507701540,已支付,广州市天河区
ORD000302,U0981,10.69,2024-01-22 23:27:26.969393878,已取消,广州市天河区
ORD000303,U0369,16.21,2024-01-23 01:12:35.431086217,未支付,上海市浦东新区
ORD000304,U0566,63.47,2024-01-23 02:57:43.892778555,未支付,杭州市西湖区
ORD000305,U0560,101.47,2024-01-23 04:42:52.354470894,已取消,广州市天河区
ORD000306,U0803,23.7,2024-01-23 06:28:00.816163232,已支付,杭州市西湖区
ORD000307,U0836,53.08,2024-01-23 08:13:09.277855571,已支付,北京市朝阳区
ORD000308,U0538,67.09,2024-01-23 09:58:17.739547909,已支付,广州市天河区
ORD000309,U0328,307.01,2024-01-23 11:43:26.201240248,已支付,杭州市西湖区
ORD000310,U0088,265.39,2024-01-23 13:28:34.662932586,已支付,北京市朝阳区
ORD000311,U0107,99.06,2024-01-23 15:13:43.124624925,已支付,北京市朝阳区
ORD000312,U0237,7.04,2024-01-23 16:58:51.586317263,已支付,上海市浦东新区
ORD000313,U0312,239.46,2024-01-23 18:44:00.048009602,已支付,杭州市西湖区
ORD000314,U0204,87.61,2024-01-23 20:29:08.509701940,未支付,上海市浦东新区
ORD000315,U0581,28.51,2024-01-23 22:14:16.971394279,已支付,北京市朝阳区
ORD000316,U0592,391.91,2024-01-23 23:59:25.433086617,已支付,广州市天河区
ORD000317,U0960,39.82,2024-01-24 01:44:33.894778955,未支付,广州市天河区
ORD000318,U0864,468.93,2024-01-24 03:29:42.356471294,未支付,广州市天河区
ORD000319,U0669,17.66,2024-01-24 05:14:50.818163632,已支付,杭州市西湖区
ORD000320,U0638,35.59,2024-01-24 06:59:59.279855971,已支付,深圳市南山区
ORD000321,U0993,6.97,2024-01-24 08:45:07.741548309,已支付,上海市浦东新区
